Timestamp,Contract,Quantity,Price,Commission
2010-11-17 09:30:00,GOOGL,-216,293.40571533536263,0.0
2010-11-18 09:30:00,GOOGL,-3,295.4119082607327,0.0
2010-11-19 09:30:00,GOOGL,243,299.42429411147265,0.0
2010-11-22 09:30:00,GOOGL,-103,294.64453946677867,0.0
2010-11-23 09:30:00,GOOGL,7,294.4138272803611,0.0
2010-11-24 09:30:00,GOOGL,-153,294.5642917497638,0.0
2010-11-26 09:30:00,GOOGL,224,296.14416867849275,0.0
2010-11-29 09:30:00,GOOGL,-92,295.4971714600609,0.0
2010-11-30 09:30:00,GOOGL,-148,288.04918022462476,0.0
2010-12-01 09:30:00,GOOGL,-530,282.37165424582764,0.0
2010-12-02 09:30:00,GOOGL,181,285.2113200220426,0.0
2010-12-03 09:30:00,GOOGL,157,285.6066403379868,0.0
2010-12-06 09:30:00,GOOGL,23,291.1838566705154,0.0
2010-12-07 09:30:00,GOOGL,107,296.5504227458801,0.0
2010-12-08 09:30:00,GOOGL,172,296.9015065078199,0.0
2010-12-09 09:30:00,GOOGL,65,297.85946362968406,0.0
2010-12-10 09:30:00,GOOGL,17,297.4883179384906,0.0
2010-12-13 09:30:00,GOOGL,10809,299.48447989923375,0.0
2010-12-14 09:30:00,GOOGL,-89,299.4694334522935,0.0
2010-12-15 09:30:00,GOOGL,1,298.01995906371366,0.0
2011-01-25 09:30:00,GOOGL,-10619,305.04163430250867,0.0
2011-01-26 09:30:00,GOOGL,201,311.1254143486932,0.0
2011-01-27 09:30:00,GOOGL,-56,309.9016366642175,0.0
2011-01-28 09:30:00,GOOGL,4,310.4934635772017,0.0
2011-01-31 09:30:00,GOOGL,-271,302.7345124383332,0.0
2011-02-01 09:30:00,GOOGL,-13,303.180890364228,0.0
2011-02-02 09:30:00,GOOGL,191,306.44596935026766,0.0
2011-02-03 09:30:00,GOOGL,16,305.68361603862706,0.0
2011-02-04 09:30:00,GOOGL,-32,306.0196533536265,0.0
